Designator,Mid X,Mid Y,Rotation,Layer
BT1,171.5,-84.0,180.0,top
C1,120.0,-82.45,90.0,top
C10,123.0,-85.0,90.0,top
C11,162.5,-60.0,270.0,top
C12,119.5,-91.0,180.0,top
C13,162.5,-68.5,90.0,top
C14,156.5,-69.5,270.0,top
C2,120.5,-77.45,90.0,top
C3,119.0,-76.275,270.0,top
C4,114.5,-81.5,270.0,top
C5,119.0,-68.0,270.0,top
C6,105.5,-80.5,90.0,top
C7,140.874999,-67.13,180.0,top
C8,124.5,-85.0,90.0,top
C9,153.91,-60.5,270.0,top
D1,131.5,-59.0,0.0,top
J1,104.0,-88.0,270.0,top
J2,110.5,-65.55,180.0,top
J3,102.5,-78.23,180.0,top
J4,131.52,-52.475,90.0,top
J5,175.5,-61.5,180.0,top
J6,148.51,-52.475,90.0,top
Q1,108.0,-79.0,0.0,top
Q2,131.325,-62.4,90.0,top
R1,117.0,-83.0,90.0,top
R10,112.775,-79.0,0.0,top
R11,111.5,-82.0,180.0,top
R12,108.0,-76.5,0.0,top
R13,128.0,-90.5,90.0,top
R14,130.5,-68.0,270.0,top
R15,131.325,-65.5,0.0,top
R16,152.0,-61.5,270.0,top
R17,164.0,-66.5,270.0,top
R18,151.5,-76.0,0.0,top
R19,150.5,-74.5,0.0,top
R2,120.0,-62.0,180.0,top
R3,119.5,-72.5,180.0,top
R4,120.0,-63.5,180.0,top
R5,119.5,-70.5,180.0,top
R6,118.5,-83.0,90.0,top
R7,116.5,-79.45,270.0,top
R8,111.5,-87.5,0.0,top
R9,111.5,-89.0,180.0,top
SW1,114.0,-95.0,180.0,top
TH1,164.0,-70.0,270.0,top
U1,118.5,-79.45,180.0,top
U2,140.904999,-62.0,0.0,top
U3,141.5,-87.5,270.0,top
U4,125.5,-88.5,270.0,top
U5,157.0,-58.5,270.0,top
U6,121.95,-88.6,270.0,top
U7,159.5,-67.0,180.0,top
